Date,Forecast,Lower_90,Upper_90,Lower_95,Upper_95
2026-05-28,2150.344303989177,1531.7190546000952,2970.182717019695,1386.4115368424775,3267.84060058851
2026-05-29,2155.834693711041,1540.6741135015975,2963.56198798427,1386.4574049521623,3228.635365944686
2026-06-01,2159.6903608852417,1535.1077548800185,2956.885778337974,1380.3297609420947,3223.6393260027344
2026-06-02,2144.397334062569,1523.7550670190656,2960.013340221194,1386.6824734343716,3200.687900150146
2026-06-03,2142.2453179069,1522.284794326501,2967.8766505016856,1376.5743384944099,3233.9138904386796
2026-06-04,2156.050180815825,1517.3226784566891,2967.9217625653,1367.4840330673997,3249.3067089953865
2026-06-05,2154.10276464911,1524.9336925775597,2983.7211440461597,1363.1122343688169,3248.3516335340696
2026-06-08,2144.6278411453472,1516.2198631699582,2983.139358183643,1360.2008586326854,3265.9520525702815
2026-06-09,2143.161032332855,1511.9076037327816,2981.478020528231,1353.0806319583633,3268.806645158096
2026-06-10,2145.4374269950235,1509.7372835003962,3003.7575615610303,1356.204577983446,3266.164724526821
2026-06-11,2141.2736420201063,1507.5168630933479,2998.3998679831875,1349.0356675242315,3293.0364983284353
2026-06-12,2142.7797995248156,1496.4814922191842,2998.8166467741407,1342.6628953265129,3230.9826978016276
