order,p,d,q,trend_req,trend_used,AIC,BIC,RMSE_test,MSE_test,error
"(5,1,0)",5,1,0,d,c,9705.818461274219,9739.724710917262,258.71506400504614,66933.48434313513,ERROR
"(5,0,1)",5,0,1,ct,ct,9706.010177167409,9749.613516480284,329.38155392370504,108492.2080651946,OK
"(5,1,1)",5,1,1,t,t,9706.91859529998,9745.66859489203,259.1202520581024,67143.30502665452,OK
"(5,1,1)",5,1,1,ct,ct,9706.91859529998,9745.66859489203,259.1202520581024,67143.30502665452,ERROR
"(5,1,1)",5,1,1,d,c,9706.91859529998,9745.66859489203,259.1202520581024,67143.30502665452,ERROR
"(5,0,0)",5,0,0,ct,ct,9707.120505244256,9745.879029077923,323.19797755596375,104456.93269626526,OK
"(5,0,2)",5,0,2,ct,ct,9710.740370123282,9759.188524915364,342.95342149005216,117617.04931173337,OK
"(4,0,2)",4,0,2,ct,ct,9711.089697728425,9754.7026166058,310.6003533918921,96472.57952716826,OK
"(3,0,2)",3,0,2,ct,ct,9711.122615357737,9749.89816047442,334.3604073028017,111796.88197169545,OK
"(5,0,0)",5,0,0,t,t,9714.567475435631,9748.481183790089,372.0661875007905,138433.24788137336,OK
"(4,2,2)",4,2,2,n,n,9714.69538923464,9748.601638877682,259.19547304364835,67182.29324632062,OK
"(4,2,2)",4,2,2,c,c,9714.69538923464,9748.601638877682,259.19547304364835,67182.29324632062,ERROR
"(4,2,2)",4,2,2,t,t,9714.69538923464,9748.601638877682,259.19547304364835,67182.29324632062,ERROR
"(4,2,2)",4,2,2,ct,ct,9714.69538923464,9748.601638877682,259.19547304364835,67182.29324632062,ERROR
"(4,2,2)",4,2,2,d,c,9714.69538923464,9748.601638877682,259.19547304364835,67182.29324632062,ERROR
"(4,2,1)",4,2,1,n,n,9714.886668440544,9743.94916813458,259.175695684581,67172.04123358653,OK
"(4,2,1)",4,2,1,c,c,9714.886668440544,9743.94916813458,259.175695684581,67172.04123358653,ERROR
"(4,2,1)",4,2,1,t,t,9714.886668440544,9743.94916813458,259.175695684581,67172.04123358653,ERROR
"(4,2,1)",4,2,1,ct,ct,9714.886668440544,9743.94916813458,259.175695684581,67172.04123358653,ERROR
"(4,2,1)",4,2,1,d,c,9714.886668440544,9743.94916813458,259.175695684581,67172.04123358653,ERROR
"(5,0,1)",5,0,1,t,t,9715.844673635169,9754.603197468836,347.7536436222463,120932.59665254827,OK
"(5,0,2)",5,0,2,t,t,9716.323557401196,9759.92689671407,353.9324755619645,125268.19725742059,OK
"(4,0,1)",4,0,1,ct,ct,9717.13646973286,9755.903508734973,328.53823676432455,107937.37301621138,OK
"(4,1,0)",4,1,0,n,n,9717.46434340248,9741.688420798522,215.67939729499068,46517.60241753043,OK
"(4,1,0)",4,1,0,c,c,9717.46434340248,9741.688420798522,215.67939729499068,46517.60241753043,ERROR
"(4,0,0)",4,0,0,ct,ct,9717.75214873442,9751.673307861269,318.2039630625159,101253.76210869101,OK
"(4,1,1)",4,1,1,n,n,9718.354039952126,9747.422932827376,219.14280630772842,48023.56955642658,OK
"(4,1,1)",4,1,1,c,c,9718.354039952126,9747.422932827376,219.14280630772842,48023.56955642658,ERROR
"(4,1,0)",4,1,0,t,t,9718.482411144174,9747.551304019424,255.83847686013985,65453.32624211631,OK
"(4,1,0)",4,1,0,ct,ct,9718.482411144174,9747.551304019424,255.83847686013985,65453.32624211631,ERROR
"(4,1,0)",4,1,0,d,c,9718.482411144174,9747.551304019424,255.83847686013985,65453.32624211631,ERROR
"(2,1,2)",2,1,2,n,n,9719.03168004507,9743.261079421389,219.0202180505029,47969.85591488984,OK
"(2,1,2)",2,1,2,c,c,9719.03168004507,9743.261079421389,219.0202180505029,47969.85591488984,ERROR
"(5,0,0)",5,0,0,n,n,9719.059955552817,9748.128848428067,251.8558034489084,63431.34573089518,OK
"(5,0,0)",5,0,0,d,n,9719.059955552817,9748.128848428067,251.8558034489084,63431.34573089518,OK
"(4,1,1)",4,1,1,t,t,9719.46502108503,9753.378729439488,258.8155164973736,66985.47157980228,OK
"(4,1,1)",4,1,1,ct,ct,9719.46502108503,9753.378729439488,258.8155164973736,66985.47157980228,ERROR
"(4,1,1)",4,1,1,d,c,9719.46502108503,9753.378729439488,258.8155164973736,66985.47157980228,ERROR
"(5,0,1)",5,0,1,n,n,9719.465578145006,9753.379286499463,251.43566204620032,63219.892148611056,OK
"(5,0,1)",5,0,1,d,n,9719.465578145006,9753.379286499463,251.43566204620032,63219.892148611056,OK
"(1,1,2)",1,1,2,t,t,9719.91721737763,9744.14661675395,333.9328064220468,111511.11920490416,OK
"(1,1,2)",1,1,2,ct,ct,9719.91721737763,9744.14661675395,333.9328064220468,111511.11920490416,ERROR
"(1,1,2)",1,1,2,d,c,9719.91721737763,9744.14661675395,333.9328064220468,111511.11920490416,ERROR
"(0,2,2)",0,2,2,n,n,9719.944667019307,9734.479113456931,260.61062584646777,67917.8983040876,OK
"(0,2,2)",0,2,2,c,c,9719.944667019307,9734.479113456931,260.61062584646777,67917.8983040876,ERROR
"(0,2,2)",0,2,2,t,t,9719.944667019307,9734.479113456931,260.61062584646777,67917.8983040876,ERROR
"(0,2,2)",0,2,2,ct,ct,9719.944667019307,9734.479113456931,260.61062584646777,67917.8983040876,ERROR
"(0,2,2)",0,2,2,d,c,9719.944667019307,9734.479113456931,260.61062584646777,67917.8983040876,ERROR
"(2,1,2)",2,1,2,t,t,9720.007049881984,9749.08232913357,260.7958554947112,68014.47824321827,OK
"(2,1,2)",2,1,2,ct,ct,9720.007049881984,9749.08232913357,260.7958554947112,68014.47824321827,ERROR
"(2,1,2)",2,1,2,d,c,9720.007049881984,9749.08232913357,260.7958554947112,68014.47824321827,ERROR
"(5,0,2)",5,0,2,n,n,9720.161422692314,9758.91994652598,250.44609141958767,62723.24470734847,OK
"(5,0,2)",5,0,2,d,n,9720.161422692314,9758.91994652598,250.44609141958767,62723.24470734847,OK
"(5,0,0)",5,0,0,c,c,9720.584164880893,9754.49787323535,168.0441457530494,28238.83492187211,OK
