order,p,d,q,trend_req,trend_used,AIC,RMSE_test,MSE_test,status,error
"(3,0,0)",3,0,0,d,n,4838.442686827351,12.876325877261923,165.79976809744502,OK,
"(4,0,1)",4,0,1,c,c,4831.5627678291585,12.896883250577035,166.32959757901446,OK,
"(5,0,0)",5,0,0,n,n,4824.427687010662,12.94089034745774,167.46664298492493,OK,
"(5,0,0)",5,0,0,d,n,4824.427687010662,12.94089034745774,167.46664298492493,OK,
"(3,0,2)",3,0,2,n,n,4836.4491778052325,12.97316446644683,168.30299627347867,OK,
"(3,0,2)",3,0,2,d,n,4836.4491778052325,12.97316446644683,168.30299627347867,OK,
"(5,0,2)",5,0,2,c,c,4833.3615604169645,12.979517362308906,168.46787095847836,OK,
"(1,0,0)",1,0,0,n,n,4847.125322789729,13.091041275636284,171.37536168041285,OK,
"(1,0,0)",1,0,0,d,n,4847.125322789729,13.091041275636284,171.37536168041285,OK,
"(2,0,2)",2,0,2,c,c,4840.557796859235,13.17385276165636,173.55039658580088,OK,
"(2,0,1)",2,0,1,n,n,4845.475938903596,13.277063135562246,176.280405505706,OK,
"(2,0,1)",2,0,1,d,n,4845.475938903596,13.277063135562246,176.280405505706,OK,
"(1,0,1)",1,0,1,n,n,4844.58995224194,13.299058279452083,176.864951120263,OK,
"(1,0,1)",1,0,1,d,n,4844.58995224194,13.299058279452083,176.864951120263,OK,
"(2,0,0)",2,0,0,n,n,4844.396495052386,13.328298839793051,177.6435499628288,OK,
"(2,0,0)",2,0,0,d,n,4844.396495052386,13.328298839793051,177.6435499628288,OK,
"(3,0,1)",3,0,1,c,c,4841.790781400657,13.432175162364112,180.42332959243137,OK,
"(5,0,2)",5,0,2,n,n,4822.921845241633,13.555137158658267,183.74174339003812,OK,
"(5,0,2)",5,0,2,d,n,4822.921845241633,13.555137158658267,183.74174339003812,OK,
"(1,2,0)",1,2,0,n,n,5275.458659003079,13.975226103263818,195.3069446373464,OK,
"(1,0,1)",1,0,1,c,c,4846.480950307797,14.311307860654846,204.8135326824412,OK,
"(3,0,2)",3,0,2,c,c,4839.411381750882,16.168280837226217,261.4133052314165,OK,
"(3,1,0)",3,1,0,t,t,4839.051096746716,17.436065198480794,304.01636960567305,OK,
"(2,1,1)",2,1,1,t,t,4844.5322441555545,17.51906954874446,306.91779785374547,OK,
"(1,1,2)",1,1,2,t,t,4840.2256451598705,17.560113167985573,308.3575744724604,OK,
"(2,1,0)",2,1,0,t,t,4843.71005577057,17.60807867915994,310.0444347714869,OK,
"(3,1,1)",3,1,1,t,t,4834.00514315722,17.614407723211894,310.2673594395468,OK,
"(0,1,2)",0,1,2,t,t,4838.888631556713,17.618278897378275,310.4037513058047,OK,
"(0,1,0)",0,1,0,t,t,4850.126068055545,17.63706084442305,311.0659152298807,OK,
"(0,1,1)",0,1,1,t,t,4848.219436479647,17.649674554253327,311.5110118710574,OK,
"(1,1,1)",1,1,1,t,t,4849.087107509654,17.658346084403963,311.81718643658473,OK,
"(1,1,0)",1,1,0,t,t,4851.221807171727,17.66028031979261,311.88550097365413,OK,
"(3,1,2)",3,1,2,t,t,4833.854213838358,17.688894331558462,312.89698267304107,OK,
"(5,1,1)",5,1,1,t,t,4829.022051142631,17.712084983445283,313.7179544607879,OK,
"(5,1,2)",5,1,2,t,t,4831.021622304677,17.712090869029126,313.7181629527449,OK,
"(5,1,0)",5,1,0,t,t,4827.03662699589,17.725308867230193,314.1865744387093,OK,
"(2,1,2)",2,1,2,t,t,4838.9220802575455,17.72923514082441,314.32577867864313,OK,
"(4,1,2)",4,1,2,t,t,4832.554272023811,17.76460729687403,315.58127241215,OK,
"(4,1,1)",4,1,1,t,t,4830.740392052148,17.805850111779808,317.048298203169,OK,
"(4,1,0)",4,1,0,t,t,4830.331473113942,17.836957988276975,318.15707027555777,OK,
"(4,0,2)",4,0,2,t,t,4841.340040343028,18.53299170302064,343.4717814642319,OK,
"(4,0,2)",4,0,2,ct,ct,4843.227299425267,19.63159179569555,385.39939643282077,OK,
"(3,1,0)",3,1,0,n,n,4840.663102373197,20.644905365073864,426.2121175328556,OK,
"(1,1,1)",1,1,1,n,n,4852.47460984511,20.649055309280328,426.3834851657181,OK,
"(2,1,1)",2,1,1,n,n,4846.314745601764,20.730723727939218,429.76290628414205,OK,
"(1,1,2)",1,1,2,n,n,4842.042852656656,20.793627544654658,432.3749464658209,OK,
"(2,1,0)",2,1,0,n,n,4845.7249332772135,20.8478885789923,434.63445820207755,OK,
"(3,1,1)",3,1,1,n,n,4835.7054580311515,20.84936176970655,434.69588620410116,OK,
"(0,1,2)",0,1,2,n,n,4840.872130541595,20.869767096144482,435.54717864731487,OK,
"(5,1,2)",5,1,2,n,n,4832.748186560538,20.877110742574896,435.85375295773616,OK,
"(5,1,1)",5,1,1,n,n,4830.756131121056,20.88271071160634,436.08760666463814,OK,
"(0,1,0)",0,1,0,n,n,4852.537496889113,20.886323655076477,436.23851582460725,OK,
"(0,1,1)",0,1,1,n,n,4850.852361274987,20.906307752516355,437.0737038429255,OK,
"(1,1,0)",1,1,0,n,n,4853.863600686565,20.908990668854692,437.1858907902526,OK,
"(5,1,0)",5,1,0,n,n,4828.809982596755,20.915147559732382,437.44339744537945,OK,
"(3,1,2)",3,1,2,n,n,4835.756497448285,20.93584903601821,438.3097748589447,OK,
"(2,1,2)",2,1,2,n,n,4841.300467171931,20.99615322718092,440.8384503392598,OK,
"(4,1,2)",4,1,2,n,n,4834.537768385155,21.001023112096103,441.0429717547947,OK,
"(4,1,1)",4,1,1,n,n,4832.747826924067,21.035911146414847,442.50955775986046,OK,
"(4,1,0)",4,1,0,n,n,4832.459846426428,21.065409692147846,443.75148549803635,OK,
"(5,2,0)",5,2,0,n,n,4991.894414966562,21.261659741766213,452.0581749746421,OK,
"(4,2,0)",4,2,0,n,n,5023.65320083094,22.93978873850487,526.2339073672349,OK,
"(2,2,0)",2,2,0,n,n,5123.188392592134,23.054420360788754,531.5062981719511,OK,
"(3,2,0)",3,2,0,n,n,5093.004674546048,28.643635845654302,820.457874458452,OK,
"(0,2,0)",0,2,0,n,n,5699.886614827221,31.62895086971557,1000.3905331188813,OK,
"(0,0,2)",0,0,2,t,t,8225.412774504006,101.29395319716498,10260.464954309451,OK,
"(0,0,2)",0,0,2,ct,ct,8227.418712687922,101.31226583955403,10264.175209544466,OK,
"(0,0,1)",0,0,1,t,t,9337.841162714445,101.73914459033521,10350.853541973134,OK,
"(0,0,1)",0,0,1,ct,ct,9339.844301939424,101.75579747574926,10354.2423199257,OK,
"(0,0,0)",0,0,0,t,t,10862.92317558457,102.18242388123228,10441.247750243829,OK,
"(0,0,0)",0,0,0,ct,ct,10864.92354632848,102.20219635584407,10445.288939958507,OK,
"(0,0,2)",0,0,2,c,c,8615.679901757856,130.79693276254926,17107.837620090835,OK,
"(0,0,1)",0,0,1,c,c,9791.32635431046,131.19001455589262,17210.819919175316,OK,
"(0,0,0)",0,0,0,c,c,11339.075434138591,131.74480426312508,17356.693450329138,OK,
"(0,0,2)",0,0,2,n,n,9478.627409333165,158.64599324422332,25168.551172446154,OK,
"(0,0,2)",0,0,2,d,n,9478.627409333165,158.64599324422332,25168.551172446154,OK,
"(0,0,1)",0,0,1,n,n,10578.126396957003,159.31097875486734,25379.987951833795,OK,
"(0,0,1)",0,0,1,d,n,10578.126396957003,159.31097875486734,25379.987951833795,OK,
"(0,0,0)",0,0,0,n,n,12158.521434662012,159.9763387306077,25592.428953650127,OK,
"(0,0,0)",0,0,0,d,n,12158.521434662012,159.9763387306077,25592.428953650127,OK,
"(0,1,0)",0,1,0,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,1,0)",0,1,0,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,1,0)",0,1,0,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,1,1)",0,1,1,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,1,1)",0,1,1,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,1,1)",0,1,1,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,1,2)",0,1,2,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,1,2)",0,1,2,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,1,2)",0,1,2,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,0)",0,2,0,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,0)",0,2,0,t,t,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,0)",0,2,0,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,0)",0,2,0,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,1)",0,2,1,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,1)",0,2,1,t,t,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,1)",0,2,1,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,1)",0,2,1,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,2)",0,2,2,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,2)",0,2,2,t,t,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,2)",0,2,2,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,2)",0,2,2,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,1,0)",1,1,0,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,1,0)",1,1,0,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,1,0)",1,1,0,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,1,1)",1,1,1,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,1,1)",1,1,1,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,1,1)",1,1,1,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,1,2)",1,1,2,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,1,2)",1,1,2,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,1,2)",1,1,2,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,2,0)",1,2,0,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,2,0)",1,2,0,t,t,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,2,0)",1,2,0,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,2,0)",1,2,0,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,2,1)",1,2,1,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,2,1)",1,2,1,t,t,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,2,1)",1,2,1,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
