order,p,d,q,trend_req,trend_used,AIC,BIC,RMSE_test,MSE_test,error
"(4,1,1)",4,1,1,t,t,5009.110725009944,5043.016974652987,5.3112249745770885,28.209110730571393,OK
"(4,1,1)",4,1,1,ct,ct,5009.110725009944,5043.016974652987,5.3112249745770885,28.209110730571393,ERROR
"(4,1,1)",4,1,1,d,c,5009.110725009944,5043.016974652987,5.3112249745770885,28.209110730571393,ERROR
"(5,0,1)",5,0,1,n,n,5009.299934443243,5043.206184086286,5.407695792098854,29.24317377988366,OK
"(5,0,1)",5,0,1,d,n,5009.299934443243,5043.206184086286,5.407695792098854,29.24317377988366,OK
"(4,0,0)",4,0,0,ct,ct,5009.465167088688,5043.378875443145,7.467376781060835,55.76171599032648,OK
"(1,1,2)",1,1,2,t,t,5009.474831402651,5033.698908798692,5.320576610098856,28.308535463931033,OK
"(1,1,2)",1,1,2,ct,ct,5009.474831402651,5033.698908798692,5.320576610098856,28.308535463931033,ERROR
"(1,1,2)",1,1,2,d,c,5009.474831402651,5033.698908798692,5.320576610098856,28.308535463931033,ERROR
"(4,1,2)",4,1,2,n,n,5009.6229266290375,5043.529176272081,6.486691139697548,42.077161941830674,OK
"(4,1,2)",4,1,2,c,c,5009.6229266290375,5043.529176272081,6.486691139697548,42.077161941830674,ERROR
"(3,1,0)",3,1,0,t,t,5009.641298616621,5033.865376012662,5.39178617335611,29.07135813919412,OK
"(3,1,0)",3,1,0,ct,ct,5009.641298616621,5033.865376012662,5.39178617335611,29.07135813919412,ERROR
"(3,1,0)",3,1,0,d,c,5009.641298616621,5033.865376012662,5.39178617335611,29.07135813919412,ERROR
"(2,1,2)",2,1,2,n,n,5009.681543341181,5033.905620737222,6.632733040636556,43.99314758835185,OK
"(2,1,2)",2,1,2,c,c,5009.681543341181,5033.905620737222,6.632733040636556,43.99314758835185,ERROR
"(4,0,0)",4,0,0,n,n,5009.824386460418,5034.048463856459,5.459645918740396,29.807733558018665,OK
"(4,0,0)",4,0,0,d,n,5009.824386460418,5034.048463856459,5.459645918740396,29.807733558018665,OK
"(3,1,1)",3,1,1,n,n,5009.964992927096,5034.1890703231375,6.633730108192482,44.006375148339444,OK
"(3,1,1)",3,1,1,c,c,5009.964992927096,5034.1890703231375,6.633730108192482,44.006375148339444,ERROR
"(1,2,2)",1,2,2,n,n,5010.080356659205,5029.45535645523,4.843657981857572,23.461022645212566,OK
"(1,2,2)",1,2,2,c,c,5010.080356659205,5029.45535645523,4.843657981857572,23.461022645212566,ERROR
"(1,2,2)",1,2,2,t,t,5010.080356659205,5029.45535645523,4.843657981857572,23.461022645212566,ERROR
"(1,2,2)",1,2,2,ct,ct,5010.080356659205,5029.45535645523,4.843657981857572,23.461022645212566,ERROR
"(1,2,2)",1,2,2,d,c,5010.080356659205,5029.45535645523,4.843657981857572,23.461022645212566,ERROR
"(0,1,1)",0,1,1,t,t,5010.112065248227,5024.649704874019,5.3572412752610905,28.70003408136107,OK
"(0,1,1)",0,1,1,ct,ct,5010.112065248227,5024.649704874019,5.3572412752610905,28.70003408136107,ERROR
"(0,1,1)",0,1,1,d,c,5010.112065248227,5024.649704874019,5.3572412752610905,28.70003408136107,ERROR
"(4,2,2)",4,2,2,n,n,5010.3579170771445,5044.256700052813,4.837760979565862,23.403931295410043,OK
"(4,2,2)",4,2,2,c,c,5010.3579170771445,5044.256700052813,4.837760979565862,23.403931295410043,ERROR
"(4,2,2)",4,2,2,t,t,5010.3579170771445,5044.256700052813,4.837760979565862,23.403931295410043,ERROR
"(4,2,2)",4,2,2,ct,ct,5010.3579170771445,5044.256700052813,4.837760979565862,23.403931295410043,ERROR
"(4,2,2)",4,2,2,d,c,5010.3579170771445,5044.256700052813,4.837760979565862,23.403931295410043,ERROR
"(1,1,1)",1,1,1,n,n,5010.381600278255,5024.919239904048,6.6278509951356375,43.92840881372046,OK
"(1,1,1)",1,1,1,c,c,5010.381600278255,5024.919239904048,6.6278509951356375,43.92840881372046,ERROR
"(2,1,0)",2,1,0,n,n,5010.406556337802,5024.944195963594,6.587378041569201,43.39354946254807,OK
"(2,1,0)",2,1,0,c,c,5010.406556337802,5024.944195963594,6.587378041569201,43.39354946254807,ERROR
"(2,0,2)",2,0,2,t,t,5010.713820788337,5039.789100039921,6.395348320571394,40.900480141435345,OK
"(5,0,2)",5,0,2,ct,ct,5010.803555873289,5059.241055363352,7.37052133094696,54.324584689944146,OK
"(5,0,1)",5,0,1,c,c,5010.880947229204,5049.630946821254,10.516690094931278,110.60077055282564,OK
"(3,0,1)",3,0,1,t,t,5011.004843119039,5040.080122370623,6.481439535823245,42.00905845653265,OK
"(4,1,2)",4,1,2,t,t,5011.278436441323,5050.028436033373,5.253715363282324,27.601525118388725,OK
"(4,1,2)",4,1,2,ct,ct,5011.278436441323,5050.028436033373,5.253715363282324,27.601525118388725,ERROR
"(4,1,2)",4,1,2,d,c,5011.278436441323,5050.028436033373,5.253715363282324,27.601525118388725,ERROR
"(2,2,2)",2,2,2,n,n,5011.3054759098195,5035.524225654851,4.836792313266967,23.394559881678422,OK
"(2,2,2)",2,2,2,c,c,5011.3054759098195,5035.524225654851,4.836792313266967,23.394559881678422,ERROR
"(2,2,2)",2,2,2,t,t,5011.3054759098195,5035.524225654851,4.836792313266967,23.394559881678422,ERROR
"(2,2,2)",2,2,2,ct,ct,5011.3054759098195,5035.524225654851,4.836792313266967,23.394559881678422,ERROR
"(2,2,2)",2,2,2,d,c,5011.3054759098195,5035.524225654851,4.836792313266967,23.394559881678422,ERROR
"(0,2,1)",0,2,1,n,n,5011.315644297267,5021.005275255683,4.844083339781494,23.465143402748634,OK
"(0,2,1)",0,2,1,c,c,5011.315644297267,5021.005275255683,4.844083339781494,23.465143402748634,ERROR
"(0,2,1)",0,2,1,t,t,5011.315644297267,5021.005275255683,4.844083339781494,23.465143402748634,ERROR
"(0,2,1)",0,2,1,ct,ct,5011.315644297267,5021.005275255683,4.844083339781494,23.465143402748634,ERROR
"(0,2,1)",0,2,1,d,c,5011.315644297267,5021.005275255683,4.844083339781494,23.465143402748634,ERROR
"(2,1,2)",2,1,2,t,t,5011.343070251232,5040.411963126482,5.365476523707364,28.78833832645486,OK
"(2,1,2)",2,1,2,ct,ct,5011.343070251232,5040.411963126482,5.365476523707364,28.78833832645486,ERROR
"(2,1,2)",2,1,2,d,c,5011.343070251232,5040.411963126482,5.365476523707364,28.78833832645486,ERROR
"(5,0,2)",5,0,2,n,n,5011.352878649678,5050.102878241728,5.401922405159995,29.18076567136955,OK
"(5,0,2)",5,0,2,d,n,5011.352878649678,5050.102878241728,5.401922405159995,29.18076567136955,OK
"(4,0,0)",4,0,0,c,c,5011.4237673771595,5040.492660252409,10.497791901552084,110.20363480829252,OK
"(3,2,1)",3,2,1,n,n,5011.473564137561,5035.692313882592,4.836003534966936,23.386930190212702,OK
"(3,2,1)",3,2,1,c,c,5011.473564137561,5035.692313882592,4.836003534966936,23.386930190212702,ERROR
"(3,2,1)",3,2,1,t,t,5011.473564137561,5035.692313882592,4.836003534966936,23.386930190212702,ERROR
"(3,2,1)",3,2,1,ct,ct,5011.473564137561,5035.692313882592,4.836003534966936,23.386930190212702,ERROR
"(3,2,1)",3,2,1,d,c,5011.473564137561,5035.692313882592,4.836003534966936,23.386930190212702,ERROR
"(4,0,1)",4,0,1,ct,ct,5011.530061329397,5050.288585163063,7.477044688066159,55.906197267338364,OK
"(3,1,1)",3,1,1,t,t,5011.642030884832,5040.710923760082,5.388863162051627,29.039846179317056,OK
"(3,1,1)",3,1,1,ct,ct,5011.642030884832,5040.710923760082,5.388863162051627,29.039846179317056,ERROR
"(3,1,1)",3,1,1,d,c,5011.642030884832,5040.710923760082,5.388863162051627,29.039846179317056,ERROR
"(3,1,2)",3,1,2,n,n,5011.680457720664,5040.749350595914,6.624024622761987,43.87770220295709,OK
