order,p,d,q,trend_req,trend_used,AIC,RMSE_test,MSE_test,status,error
"(3,2,2)",3,2,2,n,n,2820.0674566537587,4.107432798642869,16.871004195367195,OK,
"(1,2,2)",1,2,2,n,n,2816.129204338839,4.12466997218114,17.01290237941277,OK,
"(3,0,2)",3,0,2,n,n,2819.6140469265792,4.138293551646159,17.125473519596177,OK,
"(3,0,2)",3,0,2,d,n,2819.6140469265792,4.138293551646159,17.125473519596177,OK,
"(4,0,2)",4,0,2,n,n,2818.6994256513085,4.229091681828529,17.885216453311255,OK,
"(4,0,2)",4,0,2,d,n,2818.6994256513085,4.229091681828529,17.885216453311255,OK,
"(1,0,1)",1,0,1,c,c,2819.976767312543,4.238436842776717,17.964346870207063,OK,
"(0,2,1)",0,2,1,n,n,2826.9907062144775,4.392195993135239,19.291385642113248,OK,
"(4,0,0)",4,0,0,ct,ct,2812.9650469457556,4.4261303442372135,19.590629824177434,OK,
"(2,0,2)",2,0,2,ct,ct,2816.7846970955275,4.459499001245578,19.887131342110305,OK,
"(1,0,1)",1,0,1,ct,ct,2816.3054800633345,4.47783597788942,20.0510150448809,OK,
"(3,0,0)",3,0,0,ct,ct,2815.044712972982,4.569642225063678,20.881630065084924,OK,
"(2,1,1)",2,1,1,t,t,2818.3806831363872,4.619656541029114,21.341226557073078,OK,
"(1,1,2)",1,1,2,t,t,2816.399099960043,4.6204111540290205,21.348199232275782,OK,
"(0,1,0)",0,1,0,t,t,2825.162437057744,4.626274026262724,21.402411366073114,OK,
"(2,1,0)",2,1,0,t,t,2816.831927695207,4.627311552973458,21.412012208281634,OK,
"(1,1,1)",1,1,1,t,t,2816.3807478123463,4.629703133612679,21.434151105383062,OK,
"(0,1,2)",0,1,2,t,t,2815.3150900709043,4.632763952859479,21.46250184291419,OK,
"(5,1,1)",5,1,1,t,t,2808.900037693738,4.64854323665804,21.608954223079206,OK,
"(1,1,0)",1,1,0,t,t,2817.5100696160753,4.6603139293779225,21.718525920353894,OK,
"(0,1,1)",0,1,1,t,t,2815.9869226413184,4.669446538495289,21.803730975865633,OK,
